Time,bcglpid01,bcglpiw01,bcocpl01,bcocpl02,bcocpl41,bcocpl42,bcpxkv01,bcpxkv02,bcpxkv03,bcrepo01
2022-01-04T03:40:00+07:00,0,0,0,0,0,0,0.015,0.005,0.0025,0.01
2022-01-04T04:00:00+07:00,0,0,0,0,0,0,0.0075,0.0025,0,0.035
2022-01-04T04:20:00+07:00,0,0,0,0,0,0,0.005,0.0125,0,0.01
2022-01-04T04:40:00+07:00,0,0,0,0,0.035,0,0.02,0,0.005,0.04
2022-01-04T05:00:00+07:00,0,0,0,0,0.02,0,0.0125,0,0.005,0
2022-01-04T05:20:00+07:00,0,0.005,0,0.01,0.01,0,0,0,0.0025,0
2022-01-04T05:40:00+07:00,0,0,0,0,0,0,0.015,0.005,0.04,0.005
2022-01-04T06:00:00+07:00,0,0,0,0,0,0,0.0025,0,0.0025,0
2022-01-04T06:20:00+07:00,0,0,0,0,0,0,0,0.005,0.035,0.065
2022-01-04T06:40:00+07:00,0,0,0,0,0,0,0.015,0,0,0
2022-01-04T07:00:00+07:00,0,0,0.005,0,0,0,0,0.0025,0,0.02
2022-01-04T07:20:00+07:00,0,0,0,0,0,0,0,0,0.0275,0
2022-01-04T07:40:00+07:00,0,0,0,0,0.01,0.005,0.0125,0,0.0775,0.05
2022-01-04T08:00:00+07:00,0,0,0,0,0,0,0.0375,0.005,0,0.025
2022-01-04T08:20:00+07:00,0,0,0.005,0,0,0,0,0,0.0025,0
2022-01-04T08:40:00+07:00,0,0,0,0,0,0,0.01,0,0.03,0.035
2022-01-04T09:00:00+07:00,0,0,0,0,0,0,0.0025,0,0,0
2022-01-04T09:20:00+07:00,0,0,0,0,0,0,0.0425,0.0275,0,0
2022-01-04T09:40:00+07:00,0,0,0.01,0,0,0,0.0025,0.0525,0,0.01
2022-01-04T10:00:00+07:00,0.01,0,0,0,0,0,0,0.0075,0.015,0
2022-01-04T10:20:00+07:00,0,0,0,0,0,0,0.0075,0.025,0.0025,0.05
2022-01-04T10:40:00+07:00,0,0,0,0,0,0,0.0425,0.0325,0.015,0.025
2022-01-04T11:00:00+07:00,0,0,0,0,0.01,0,0,0.015,0,0
2022-01-04T11:20:00+07:00,0,0,0,0,0.005,0,0,0,0,0.035
2022-01-04T11:40:00+07:00,0,0,0,0,0,0,0.015,0,0.0375,0.01
2022-01-04T12:00:00+07:00,0,0,0,0,0,0,0.0225,0,0.02,0
2022-01-04T12:20:00+07:00,0,0,0,0,0,0,0,0,0.0325,0.01
2022-01-04T12:40:00+07:00,0,0,0,0,0,0,0,0,0,0
2022-01-04T13:00:00+07:00,0,0,0,0,0.03,0,0.0025,0,0,0
2022-01-04T13:20:00+07:00,0,0,0,0,0,0,0,0,0.0075,0.005
2022-01-04T13:40:00+07:00,0,0,0.015,0,0,0,0.0025,0,0.0025,0
2022-01-04T14:00:00+07:00,0,0.005,0,0,0,0,0,0,0,0
2022-01-04T14:20:00+07:00,0,0,0,0,0,0,0.005,0,0.005,0
2022-01-04T14:40:00+07:00,0,0,0,0,0,0,0,0,0.025,0.01
2022-01-04T15:00:00+07:00,0,0,0,0,0.01,0,0,0,0,0.015
2022-01-04T15:20:00+07:00,0,0,0.02,0,0.04,0,0.0775,0,0,0.025
2022-01-04T15:40:00+07:00,0,0,0,0,0,0,0.055,0,0.0275,0
2022-01-04T16:00:00+07:00,0,0.05,0,0,0,0,0.015,0,0.0375,0.04
2022-01-04T16:20:00+07:00,0,0,0,0,0,0,0.02,0,0.005,0.01
2022-01-04T16:40:00+07:00,0,0,0,0.07,0,0,0,0,0,0.03
2022-01-04T17:00:00+07:00,0,0,0,0,0.015,0,0.025,0,0.02,0.005
2022-01-04T17:20:00+07:00,0,0,0,0,0,0,0,0.025,0,0.05
2022-01-04T17:40:00+07:00,0,0,0.015,0,0,0,0,0.015,0,0.005
2022-01-04T18:00:00+07:00,0,0,0.005,0,0.005,0,0,0,0,0.015
2022-01-04T18:20:00+07:00,0,0,0,0,0,0,0.005,0,0,0.025
2022-01-04T18:40:00+07:00,0,0,0,0,0,0.1,0.005,0.0075,0,0
2022-01-04T19:00:00+07:00,0,0,0.025,0,0,0,0.0225,0.07,0.0025,0.015
2022-01-04T19:20:00+07:00,0,0,0.01,0,0,0,0.0025,0,0,0
